date,food_item,food_category,quantity_prepared,quantity_sold,quantity_wasted,day_of_week,is_weekend,weather,temperature,special_event,customer_count,month,unit_cost,total_cost,waste_cost
2024-10-25,Grilled Chicken,mains,52.95,41.59,10.99,Friday,0,rainy,13.4,none,109,10,13.67,724.07,150.35
2024-10-25,Paneer,mains,52.5,42.53,9.99,Friday,0,rainy,13.4,none,109,10,12.03,631.62,120.24
2024-10-25,Pasta ,mains,45.29,31.02,15.18,Friday,0,rainy,13.4,none,109,10,3.77,170.54,57.16
2024-10-25,Margherita Pizza,mains,35.1,23.23,12.54,Friday,0,rainy,13.4,none,109,10,3.91,137.19,49.0
2024-10-25,Chocolate Cake,desserts,20.72,13.49,6.59,Friday,0,rainy,13.4,none,109,10,9.88,204.63,65.11
2024-10-25,Cake,desserts,26.95,18.6,7.85,Friday,0,rainy,13.4,none,109,10,12.9,347.51,101.25
2024-10-25,French Fries,sides,31.48,25.7,5.46,Friday,0,rainy,13.4,none,109,10,8.59,270.34,46.91
2024-10-25,Garlic Bread,sides,33.59,24.87,8.49,Friday,0,rainy,13.4,none,109,10,3.76,126.15,31.89
2024-10-25,Corn Soup,soups,8.43,6.1,2.18,Friday,0,rainy,13.4,none,109,10,6.82,57.45,14.88
2024-10-25,Burger,mains,48.49,38.98,9.58,Friday,0,rainy,13.4,none,109,10,6.59,319.73,63.15
2024-10-25,Fish,mains,32.17,24.87,6.72,Friday,0,rainy,13.4,none,109,10,13.88,446.5,93.32
2024-10-25,Salad,salads,14.88,10.72,4.43,Friday,0,rainy,13.4,none,109,10,11.03,164.09,48.83
2024-10-25,Ice Cream,desserts,24.54,18.61,6.36,Friday,0,rainy,13.4,none,109,10,14.88,365.19,94.64
2024-10-25,Onion Rings,sides,23.74,18.46,5.29,Friday,0,rainy,13.4,none,109,10,3.08,73.07,16.28
2024-10-25,Tomato Soup,soups,10.73,8.48,2.15,Friday,0,rainy,13.4,none,109,10,8.82,94.64,18.92
2024-10-26,Grilled Chicken,mains,63.94,43.25,20.15,Saturday,1,cloudy,18.4,none,187,10,14.79,945.45,297.9
2024-10-26,Paneer,mains,96.04,63.55,33.05,Saturday,1,cloudy,18.4,none,187,10,14.63,1404.79,483.47
2024-10-26,Pasta ,mains,78.29,55.45,24.06,Saturday,1,cloudy,18.4,none,187,10,12.03,941.79,289.38
2024-10-26,Margherita Pizza,mains,71.87,55.51,15.72,Saturday,1,cloudy,18.4,none,187,10,6.03,433.19,94.74
2024-10-26,Chocolate Cake,desserts,41.17,29.46,10.94,Saturday,1,cloudy,18.4,none,187,10,12.53,515.94,137.05
2024-10-26,Cake,desserts,29.61,24.16,5.13,Saturday,1,cloudy,18.4,none,187,10,7.77,230.18,39.87
2024-10-26,French Fries,sides,57.19,40.93,14.65,Saturday,1,cloudy,18.4,none,187,10,5.16,295.0,75.58
2024-10-26,Garlic Bread,sides,55.59,41.05,15.95,Saturday,1,cloudy,18.4,none,187,10,14.62,812.97,233.33
2024-10-26,Corn Soup,soups,17.64,12.28,5.18,Saturday,1,cloudy,18.4,none,187,10,6.51,114.89,33.74
2024-10-26,Burger,mains,91.17,64.16,27.28,Saturday,1,cloudy,18.4,none,187,10,3.41,311.22,93.12
2024-10-26,Fish,mains,75.57,55.69,20.65,Saturday,1,cloudy,18.4,none,187,10,10.72,810.34,221.37
2024-10-26,Salad,salads,20.55,14.31,5.8,Saturday,1,cloudy,18.4,none,187,10,14.68,301.72,85.18
2024-10-26,Ice Cream,desserts,31.27,25.59,5.76,Saturday,1,cloudy,18.4,none,187,10,3.08,96.43,17.77
2024-10-26,Onion Rings,sides,56.99,38.51,19.09,Saturday,1,cloudy,18.4,none,187,10,5.69,324.24,108.62
2024-10-26,Tomato Soup,soups,17.3,13.36,4.28,Saturday,1,cloudy,18.4,none,187,10,7.2,124.48,30.78
2024-10-27,Grilled Chicken,mains,94.56,76.68,17.82,Sunday,1,rainy,14.8,none,182,10,4.6,434.83,81.95
2024-10-27,Paneer,mains,73.67,59.98,14.7,Sunday,1,rainy,14.8,none,182,10,6.13,451.46,90.1
2024-10-27,Pasta ,mains,77.51,53.33,26.16,Sunday,1,rainy,14.8,none,182,10,4.16,322.46,108.83
2024-10-27,Margherita Pizza,mains,80.07,63.28,15.28,Sunday,1,rainy,14.8,none,182,10,10.52,842.05,160.69
2024-10-27,Chocolate Cake,desserts,30.72,25.07,5.75,Sunday,1,rainy,14.8,none,182,10,5.85,179.54,33.59
2024-10-27,Cake,desserts,26.35,20.92,5.35,Sunday,1,rainy,14.8,none,182,10,7.06,185.95,37.74
2024-10-27,French Fries,sides,45.43,37.14,8.34,Sunday,1,rainy,14.8,none,182,10,6.37,289.46,53.17
2024-10-27,Garlic Bread,sides,55.52,47.03,7.8,Sunday,1,rainy,14.8,none,182,10,6.61,367.07,51.6
2024-10-27,Corn Soup,soups,16.98,12.7,3.87,Sunday,1,rainy,14.8,none,182,10,12.33,209.46,47.71
2024-10-27,Burger,mains,90.74,65.76,23.5,Sunday,1,rainy,14.8,none,182,10,13.03,1182.71,306.32
2024-10-27,Fish,mains,90.98,70.73,21.92,Sunday,1,rainy,14.8,none,182,10,12.49,1136.38,273.77
2024-10-27,Salad,salads,25.63,20.78,5.25,Sunday,1,rainy,14.8,none,182,10,8.15,208.9,42.79
2024-10-27,Ice Cream,desserts,34.78,26.55,7.66,Sunday,1,rainy,14.8,none,182,10,13.22,459.85,101.34
2024-10-27,Onion Rings,sides,45.93,38.42,6.98,Sunday,1,rainy,14.8,none,182,10,3.77,173.19,26.32
2024-10-27,Tomato Soup,soups,19.77,13.96,5.61,Sunday,1,rainy,14.8,none,182,10,6.19,122.48,34.73
